cell_id,cycle_number,capacity_ah,cap_endpoint_ah,mean_voltage_v,min_voltage_v,max_voltage_v,mean_abs_current_a,mean_temperature_c,duration_s,n_samples,dt_s,soh,is_synthetic
B0005,39,1.774114,1.773038,3.553276,2.612793,4.199396,1.922123,31.617323,3321.188000,355,9.360000,0.887057,False
B0005,40,1.768716,1.767872,3.556266,2.663706,4.199579,1.916274,32.165811,3321.844000,355,9.360000,0.884358,False
B0005,41,1.766240,1.762315,3.556310,2.666845,4.199547,1.915926,32.357538,3311.828000,354,9.375000,0.883120,False
B0005,42,1.766480,1.767617,3.558951,2.684431,4.194091,1.911446,31.840377,3327.391000,179,15.565938,0.883240,False
B0005,43,1.766168,1.762668,3.553442,2.645224,4.200715,1.915845,31.781884,3312.078000,354,9.375000,0.883084,False
B0005,44,1.752726,1.751730,3.551012,2.660353,4.199098,1.915134,31.439046,3293.172000,352,9.360000,0.876363,False
B0005,45,1.745311,1.741850,3.551318,2.692685,4.199399,1.914857,31.343337,3275.328000,350,9.375000,0.872656,False
B0005,46,1.737141,1.736091,3.549003,2.670545,4.199123,1.914423,31.436352,3265.016000,349,9.360000,0.868571,False
B0005,47,1.745827,1.793624,3.559765,2.605158,4.190409,1.938903,34.289497,3328.937000,356,9.360000,0.872913,False
B0005,48,1.754556,1.783189,3.562345,2.672012,4.199934,1.927535,33.412977,3329.266000,356,9.360000,0.877278,False
B0005,49,1.768348,1.767364,3.558337,2.674271,4.199365,1.926730,32.634645,3301.579000,353,9.360000,0.884174,False
B0005,50,1.760639,1.757018,3.554013,2.630942,4.199024,1.926172,32.277405,3283.563000,351,9.375000,0.880320,False
B0005,51,1.750264,1.746871,3.552376,2.662973,4.199432,1.920294,32.018260,3275.125000,350,9.375000,0.875132,False
B0005,52,1.745098,1.741717,3.549619,2.612942,4.199641,1.920115,32.058289,3265.656000,349,9.375000,0.872549,False
B0005,53,1.737159,1.736423,3.549381,2.615720,4.199306,1.914441,32.455889,3266.093000,349,9.360000,0.868579,False
B0005,54,1.729466,1.726322,3.547212,2.628770,4.198950,1.908381,32.211001,3257.594000,348,9.375000,0.864733,False
B0005,55,1.716181,1.715807,3.546705,2.665511,4.198342,1.902222,32.047091,3248.593000,347,9.360000,0.858091,False
B0005,56,1.711097,1.710533,3.544630,2.650495,4.198996,1.902070,31.987250,3238.766000,346,9.360000,0.855549,False
B0005,57,1.708842,1.706014,3.543629,2.643236,4.199170,1.896533,32.199611,3240.140000,346,9.375000,0.854421,False
B0005,58,1.703429,1.700311,3.544495,2.656450,4.199247,1.895993,32.577351,3230.109000,345,9.375000,0.851715,False
B0005,59,1.695350,1.694580,3.540920,2.626178,4.199255,1.890033,32.401797,3229.781000,345,9.360000,0.847675,False
B0005,60,1.687657,1.684903,3.541196,2.658223,4.199611,1.889393,32.295451,3212.469000,343,9.375000,0.843828,False
B0005,61,1.677214,1.674474,3.540671,2.695100,4.199445,1.877705,32.086998,3213.219000,343,9.375000,0.838607,False
B0005,62,1.677212,1.674569,3.537605,2.639092,4.198992,1.883195,32.377779,3203.578000,342,9.375000,0.838606,False
B0005,63,1.666321,1.663716,3.538422,2.685721,4.197785,1.876445,32.206106,3195.125000,341,9.375000,0.833161,False
B0005,64,1.661456,1.659014,3.539286,2.690179,4.201331,1.870973,32.575116,3195.313000,341,9.375000,0.830728,False
B0005,65,1.656230,1.653854,3.533690,2.639895,4.199340,1.870569,32.461147,3186.297000,340,9.375000,0.828115,False
B0005,66,1.645584,1.642654,3.534368,2.689915,4.198916,1.864026,32.365350,3176.438000,339,9.375000,0.822792,False
B0005,67,1.640441,1.637858,3.531294,2.659358,4.198537,1.863704,32.367041,3167.593000,338,9.375000,0.820221,False
B0005,68,1.635309,1.632735,3.530913,2.665703,4.198944,1.857873,32.454962,3167.719000,338,9.375000,0.817655,False
B0005,69,1.629928,1.627753,3.528723,2.642987,4.199580,1.857254,32.490174,3159.078000,337,9.375000,0.814964,False
B0005,70,1.624765,1.622125,3.526255,2.631117,4.198782,1.856877,32.483962,3148.829000,336,9.375000,0.812383,False
B0005,71,1.611735,1.611326,3.528684,2.696157,4.199105,1.844942,32.482621,3149.094000,336,9.360000,0.805868,False
B0005,72,1.609091,1.606563,3.525557,2.666760,4.198511,1.844461,32.503183,3140.547000,335,9.375000,0.804545,False
B0005,73,1.603833,1.601514,3.522681,2.640319,4.198732,1.843931,32.501058,3131.625000,334,9.375000,0.801916,False
B0005,74,1.593162,1.590369,3.524673,2.698930,4.198800,1.837165,32.477887,3121.907000,333,9.375000,0.796581,False
B0005,75,1.588369,1.585789,3.521316,2.668247,4.198754,1.831643,32.464248,3122.125000,333,9.375000,0.794185,False
B0005,76,1.585424,1.584943,3.518034,2.647921,4.200310,1.831175,32.338918,3121.672000,333,9.360000,0.792712,False
B0005,77,1.598504,1.595526,3.523684,2.674163,4.201124,1.843326,32.853250,3120.860000,333,9.375000,0.799252,False
B0005,78,1.577278,1.574730,3.519147,2.689253,4.198150,1.829841,32.329828,3103.828000,331,9.375000,0.788639,False
B0005,79,1.567249,1.564902,3.516234,2.688809,4.198524,1.823708,32.090934,3095.094000,330,9.375000,0.783625,False
B0005,80,1.562105,1.559766,3.514773,2.674356,4.198841,1.817724,32.252546,3095.781000,330,9.375000,0.781053,False
B0005,81,1.562304,1.559482,3.513299,2.643029,4.198120,1.817961,32.723882,3094.328000,330,9.375000,0.781152,False
B0005,82,1.556988,1.554689,3.514485,2.658486,4.198320,1.817283,32.973602,3086.531000,329,9.375000,0.778494,False
B0005,83,1.551660,1.548874,3.510968,2.629782,4.198047,1.811060,32.887898,3085.625000,329,9.375000,0.775830,False
B0005,84,1.540920,1.538237,3.510936,2.662297,4.199047,1.809524,32.678356,3067.203000,327,9.375000,0.770460,False
B0005,85,1.530396,1.527914,3.509393,2.682381,4.197670,1.802679,32.417347,3058.157000,326,9.375000,0.765198,False
B0005,86,1.530840,1.528525,3.506678,2.640189,4.197601,1.803207,32.735126,3058.812000,326,9.375000,0.765420,False
B0005,87,1.525253,1.522647,3.510989,2.693769,4.197986,1.796621,33.054825,3058.578000,326,9.375000,0.762627,False
B0005,88,1.520069,1.517486,3.510305,2.695787,4.198164,1.796033,33.105375,3049.328000,325,9.375000,0.760034,False
B0005,89,1.527669,1.605819,3.522222,2.692055,4.219452,1.822945,32.838557,3177.219000,339,9.375000,0.763834,False
B0005,90,1.535307,1.563849,3.516349,2.629071,4.200423,1.829471,33.349761,3082.937000,329,9.375000,0.767654,False
B0005,91,1.542984,1.548092,3.513440,2.631344,4.198372,1.816354,33.365357,3074.266000,328,9.375000,0.771492,False
B0005,92,1.535713,1.532376,3.515138,2.698397,4.198353,1.803408,33.194968,3066.000000,327,9.375000,0.767856,False
B0005,93,1.530444,1.526953,3.508304,2.633849,4.197874,1.802740,33.040112,3056.437000,326,9.375000,0.765222,False
B0005,94,1.519973,1.516957,3.509191,2.671566,4.197956,1.795909,32.981784,3048.219000,325,9.375000,0.759986,False
B0005,95,1.514892,1.511898,3.506810,2.654081,4.197918,1.795435,33.048320,3039.218000,324,9.375000,0.757446,False
B0005,96,1.509791,1.506564,3.506091,2.656850,4.197739,1.789387,33.098292,3039.047000,324,9.375000,0.754896,False
B0005,97,1.504346,1.501545,3.503716,2.636305,4.197855,1.788452,33.149893,3030.375000,323,9.375000,0.752173,False
B0005,98,1.493941,1.490844,3.506748,2.699517,4.197307,1.781604,33.155521,3021.000000,322,9.375000,0.746970,False
B0005,99,1.488673,1.485868,3.505881,2.698216,4.197528,1.775319,33.212651,3021.750000,322,9.375000,0.744336,False
B0005,100,1.483214,1.480414,3.504168,2.691171,4.197437,1.774316,33.225253,3012.265000,321,9.375000,0.741607,False
B0005,101,1.478270,1.475210,3.503057,2.690162,4.197717,1.773932,33.243358,3002.641000,320,9.375000,0.739135,False
B0005,102,1.488795,1.485904,3.498232,2.635503,4.192455,1.780991,33.278948,3012.000000,321,9.375000,0.744397,False
B0005,103,1.499270,1.496092,3.506586,2.659475,4.202845,1.787964,33.864942,3020.110000,322,9.375000,0.749635,False
B0005,104,1.483575,1.480801,3.501457,2.644555,4.197953,1.780299,33.747472,3002.172000,320,9.375000,0.741787,False
B0005,105,1.472975,1.469754,3.501658,2.671960,4.198018,1.773117,33.640911,2992.703000,319,9.375000,0.736488,False
B0005,106,1.457137,1.453901,3.496619,2.659821,4.192163,1.770705,33.426700,2964.468000,316,9.375000,0.728569,False
B0005,107,1.457581,1.454146,3.499165,2.688360,4.196993,1.760101,33.481199,2983.375000,318,9.375000,0.728791,False
B0005,108,1.457567,1.455024,3.496081,2.637673,4.197604,1.765636,33.755931,2975.297000,317,9.375000,0.728783,False
B0005,109,1.451977,1.449042,3.495901,2.645121,4.196407,1.758866,33.904583,2974.985000,317,9.375000,0.725988,False
B0005,110,1.441512,1.438671,3.497587,2.698012,4.197099,1.751716,33.681486,2966.250000,316,9.375000,0.720756,False
B0005,111,1.436634,1.433445,3.495699,2.692894,4.196909,1.751330,33.545803,2956.359000,315,9.375000,0.718317,False
B0005,112,1.436534,1.433396,3.492875,2.648392,4.197105,1.751215,33.828514,2956.344000,315,9.375000,0.718267,False
B0005,113,1.431172,1.428065,3.495511,2.683213,4.196245,1.744671,34.079773,2956.406000,315,9.375000,0.715586,False
B0005,114,1.425804,1.422920,3.494233,2.684960,4.196803,1.743670,33.964277,2947.266000,314,9.375000,0.712902,False
B0005,115,1.420382,1.417429,3.491197,2.669922,4.196227,1.742587,33.793778,2937.984000,313,9.375000,0.710191,False
B0005,116,1.415401,1.412409,3.488909,2.664106,4.196558,1.742041,33.642361,2929.125000,312,9.375000,0.707700,False
B0005,117,1.415516,1.412579,3.487376,2.634099,4.196871,1.742181,33.884256,2928.454000,312,9.375000,0.707758,False
B0005,118,1.410416,1.407598,3.491994,2.683787,4.196796,1.735899,34.256557,2929.375000,312,9.375000,0.705208,False
B0005,119,1.417468,1.433392,3.491586,2.660032,4.189287,1.756842,33.976503,2946.031000,314,9.375000,0.708734,False
B0005,120,1.424556,1.438255,3.495576,2.650012,4.201145,1.757342,34.195019,2955.438000,315,9.375000,0.712278,False
B0005,121,1.420583,1.417355,3.493899,2.693697,4.196926,1.742834,33.930794,2937.625000,313,9.375000,0.710292,False
B0005,122,1.409970,1.406982,3.491592,2.697073,4.196901,1.735350,33.673776,2929.078000,312,9.375000,0.704985,False
B0005,123,1.404754,1.401204,3.488573,2.680700,4.196689,1.734492,33.591905,2918.375000,311,9.375000,0.702377,False
B0005,124,1.399636,1.396701,3.486902,2.669540,4.196339,1.728173,33.618411,2919.812000,311,9.375000,0.699818,False
B0005,125,1.394311,1.391285,3.485549,2.671695,4.196181,1.732738,33.582988,2900.422000,309,9.375000,0.697155,False
B0005,126,1.388988,1.386229,3.483891,2.661289,4.195771,1.726126,33.579850,2901.375000,309,9.375000,0.694494,False
B0005,127,1.383733,1.380437,3.483199,2.667818,4.195456,1.719592,33.510192,2901.187000,309,9.375000,0.691866,False
B0005,128,1.378514,1.375236,3.483627,2.684008,4.196544,1.718673,33.468749,2891.640000,308,9.375000,0.689257,False
B0005,129,1.373309,1.370513,3.480172,2.658526,4.194357,1.717761,33.506007,2882.906000,307,9.375000,0.686655,False
B0005,130,1.373285,1.370509,3.478452,2.637225,4.195864,1.717733,33.551791,2883.265000,307,9.375000,0.686642,False
B0005,131,1.367930,1.364736,3.478578,2.651426,4.195585,1.711035,33.514105,2882.969000,307,9.375000,0.683965,False
B0005,132,1.378387,1.375392,3.482520,2.676385,4.188484,1.718521,33.983899,2891.656000,308,9.375000,0.689194,False
B0005,133,1.388987,1.386112,3.488682,2.694914,4.200347,1.726126,34.125978,2901.250000,309,9.375000,0.694494,False
B0005,134,1.371039,1.369850,3.485850,2.697334,4.198175,1.712089,34.015932,2891.703000,308,9.360000,0.685520,False
B0005,135,1.367956,1.364783,3.478794,2.642540,4.195715,1.711064,33.850297,2883.016000,307,9.375000,0.683978,False
B0005,136,1.357495,1.354322,3.481283,2.699226,4.195756,1.703538,33.630221,2873.453000,306,9.375000,0.678748,False
B0005,137,1.357546,1.354642,3.480352,2.676480,4.195912,1.703607,33.990962,2874.031000,306,9.375000,0.678773,False
B0005,138,1.357528,1.354704,3.478113,2.642142,4.195824,1.703569,34.173438,2874.234000,306,9.375000,0.678764,False
B0005,139,1.352217,1.349315,3.476587,2.644725,4.196258,1.702465,33.949521,2864.984000,305,9.375000,0.676108,False
B0005,140,1.347030,1.344189,3.473377,2.632271,4.196613,1.701521,33.713118,2855.093000,304,9.375000,0.673515,False
B0005,141,1.341949,1.338991,3.472637,2.639101,4.195851,1.695097,33.618375,2855.625000,304,9.375000,0.670974,False
B0005,142,1.341981,1.338915,3.473439,2.637842,4.196002,1.695138,33.927802,2855.594000,304,9.375000,0.670991,False
B0005,143,1.336546,1.334007,3.475478,2.668286,4.196208,1.693843,33.945584,2847.437000,303,9.375000,0.668273,False
B0005,144,1.331199,1.328644,3.472288,2.649020,4.195535,1.687069,33.753813,2847.360000,303,9.375000,0.665600,False
B0005,145,1.326101,1.323171,3.471374,2.664059,4.195744,1.686177,33.529328,2837.328000,302,9.375000,0.663051,False
B0005,146,1.320958,1.318169,3.472616,2.688361,4.195868,1.679631,33.515815,2837.281000,302,9.375000,0.660479,False
B0005,147,1.321176,1.318466,3.473815,2.686975,4.195348,1.679913,33.861105,2838.515000,302,9.375000,0.660588,False
B0005,148,1.321019,1.318293,3.470143,2.650754,4.196066,1.685292,33.805013,2828.328000,301,9.375000,0.660509,False
B0005,149,1.326308,1.323872,3.467524,2.664632,4.184535,1.686439,33.447017,2838.265000,302,9.375000,0.663154,False
B0005,150,1.332939,1.360122,3.476753,2.640021,4.201240,1.715902,33.750264,2864.547000,305,9.375000,0.666470,False
B0005,151,1.342048,1.339531,3.475896,2.674199,4.195704,1.700822,33.810900,2846.390000,303,9.375000,0.671024,False
B0005,152,1.331439,1.329029,3.475812,2.696427,4.195745,1.692960,33.687247,2837.969000,302,9.375000,0.665720,False
B0005,153,1.326151,1.323674,3.474655,2.692834,4.196363,1.686237,33.648669,2838.156000,302,9.375000,0.663075,False
B0005,154,1.320894,1.318634,3.472302,2.681748,4.195793,1.685131,33.618375,2829.843000,301,9.375000,0.660447,False
B0005,155,1.315738,1.313475,3.472931,2.696791,4.195797,1.678559,33.625916,2829.625000,301,9.375000,0.657869,False
B0005,156,1.315657,1.313202,3.469619,2.664696,4.196349,1.684047,33.617430,2819.437000,300,9.375000,0.657828,False
B0005,157,1.310499,1.307796,3.470018,2.679192,4.195609,1.677450,33.602627,2819.579000,300,9.375000,0.655249,False
B0005,158,1.305373,1.303033,3.470763,2.699983,4.195340,1.676477,33.604267,2810.672000,299,9.375000,0.652686,False
B0005,159,1.305281,1.303357,3.468111,2.666301,4.195402,1.676356,33.661824,2811.485000,299,9.375000,0.652641,False
B0005,160,1.305219,1.303410,3.464863,2.630850,4.195685,1.681904,33.705362,2802.422000,298,9.375000,0.652609,False
B0005,161,1.299983,1.297887,3.467864,2.673348,4.195561,1.675154,33.762942,2801.625000,298,9.375000,0.649992,False
B0005,162,1.300166,1.298074,3.464021,2.632764,4.196067,1.675387,33.702151,2802.031000,298,9.375000,0.650083,False
B0005,163,1.295127,1.293464,3.466462,2.668737,4.196641,1.674518,33.700238,2793.390000,297,9.375000,0.647564,False
B0005,164,1.289708,1.288003,3.468509,2.696396,4.195624,1.667515,33.771666,2793.390000,297,9.375000,0.644854,False
B0005,165,1.289742,1.287453,3.466806,2.679483,4.195862,1.667546,33.825836,2792.485000,297,9.375000,0.644871,False
B0005,166,1.296190,1.309015,3.471071,2.678714,4.184827,1.688937,34.019634,2802.016000,298,9.375000,0.648095,False
B0005,167,1.302671,1.325079,3.475472,2.655378,4.201969,1.698047,34.194534,2820.390000,300,9.375000,0.651336,False
B0005,168,1.294944,1.294944,3.455533,2.680010,4.196902,1.635980,34.390101,2875.753840,2875,1.000000,0.647472,True
B0005,169,1.301418,1.411903,3.475416,2.610855,4.191145,1.696582,34.169054,3003.932989,3003,1.000000,0.650709,True
B0005,170,1.307926,1.576332,3.514952,2.681397,4.199698,1.820493,33.388699,3117.460436,3117,1.000000,0.653963,True
B0005,171,1.314465,1.853518,3.561879,2.636833,4.194648,1.917167,31.777392,3494.715262,3494,1.000000,0.657233,True
B0005,172,1.321038,1.650654,3.530647,2.618204,4.197006,1.828629,32.819362,3235.895104,3235,1.000000,0.660519,True
B0005,173,1.327643,1.399923,3.495771,2.654035,4.201458,1.780683,33.449630,2833.738430,2833,1.000000,0.663821,True
B0005,174,1.334281,1.896970,3.592756,2.577176,4.188592,1.977681,32.016061,3647.054340,3647,1.000000,0.667140,True
B0005,175,1.340952,1.491265,3.503495,2.656264,4.193332,1.759486,33.564824,3032.293851,3032,1.000000,0.670476,True
B0005,176,1.347657,1.715047,3.536947,2.624758,4.194706,1.850471,32.389476,3343.225509,3343,1.000000,0.673829,True
B0005,177,1.354395,1.673714,3.531364,2.646865,4.191728,1.821869,32.298753,3295.177687,3295,1.000000,0.677198,True
B0005,178,1.361167,1.688353,3.527797,2.596017,4.189961,1.814445,32.200006,3333.605732,3333,1.000000,0.680584,True
B0005,179,1.367973,1.636979,3.530628,2.658739,4.194584,1.841444,32.481124,3188.107590,3188,1.000000,0.683987,True
B0005,180,1.374813,1.524614,3.507529,2.668612,4.192479,1.769177,33.657071,3093.758215,3093,1.000000,0.687407,True
B0005,181,1.381687,1.687385,3.527083,2.672361,4.195749,1.829577,32.511223,3309.332193,3309,1.000000,0.690844,True
B0005,182,1.388596,1.515646,3.506386,2.660362,4.205978,1.811342,33.185837,3015.498869,3015,1.000000,0.694298,True
B0005,183,1.395539,1.672994,3.538735,2.654840,4.198235,1.849594,33.830441,3257.642329,3257,1.000000,0.697769,True
B0005,184,1.402516,1.709868,3.544644,2.644409,4.196789,1.894230,31.889513,3244.616542,3244,1.000000,0.701258,True
B0005,185,1.409529,1.511880,3.505121,2.716262,4.200452,1.764233,33.249856,3085.777376,3085,1.000000,0.704764,True
B0005,186,1.416576,1.728626,3.542419,2.594127,4.191680,1.869979,32.519174,3326.459105,3326,1.000000,0.708288,True
B0005,187,1.423659,1.896970,3.604724,2.671899,4.195121,1.977681,30.819879,3764.038680,3764,1.000000,0.711830,True
B0005,188,1.386782,1.386782,3.471920,2.679971,4.191911,1.652620,34.139373,3030.142744,3030,1.000000,0.693391,True
B0005,189,1.393716,1.629263,3.519620,2.673762,4.188804,1.787714,32.905098,3270.790833,3270,1.000000,0.696858,True
B0005,190,1.400685,1.428501,3.480161,2.600326,4.190859,1.713671,33.198811,2990.249535,2990,1.000000,0.700342,True
B0005,191,1.282781,1.282781,3.462664,2.653851,4.192232,1.676854,34.270270,2779.980449,2779,1.000000,0.641390,True
B0005,192,1.289195,1.555897,3.522758,2.691172,4.202061,1.836805,32.491842,3027.217369,3027,1.000000,0.644597,True
B0006,0,2.030291,2.035338,3.556946,2.475768,4.179823,1.990538,32.352429,3690.234000,197,15.565938,1.015145,False
B0006,1,2.018067,2.025140,3.561476,2.351526,4.177288,1.990278,32.472462,3672.344000,196,15.565938,1.009034,False
B0006,2,2.008226,2.013326,3.566752,2.440480,4.178121,1.989947,32.416350,3651.641000,195,15.565938,1.004113,False
B0006,3,2.001668,2.013285,3.568795,2.479156,4.178562,1.989603,32.340559,3631.563000,194,15.565938,1.000834,False
B0006,4,2.000005,2.000528,3.563971,2.280188,4.178250,1.989548,32.223880,3629.172000,194,15.565938,1.000002,False
B0006,5,2.005092,2.013899,3.573551,2.439284,4.193217,1.990104,32.221415,3652.281000,195,15.565938,1.002546,False
B0006,6,2.006737,2.013101,3.571139,2.281207,4.193733,1.990089,32.278195,3650.828000,195,15.565938,1.003369,False
B0006,7,1.966098,1.968790,3.568151,2.366411,4.176827,1.989117,32.272493,3572.453000,191,15.565938,0.983049,False
B0006,8,1.951839,1.968166,3.569283,2.436020,4.176369,1.989212,32.203271,3550.594000,190,15.565938,0.975920,False
B0006,9,1.951804,1.957231,3.563389,2.186438,4.176898,1.989193,32.150875,3551.250000,190,15.565938,0.975902,False
B0006,10,1.945471,1.945599,3.566659,2.340602,4.177580,1.989132,32.033090,3530.250000,189,15.565938,0.972735,False
B0006,11,1.922119,1.934751,3.568704,2.426302,4.177996,1.988781,32.297972,3491.016000,187,15.565938,0.961060,False
B0006,12,1.914895,1.923280,3.569207,2.475370,4.176316,1.988732,32.267373,3470.281000,186,15.565938,0.957448,False
B0006,13,1.911799,1.911890,3.565927,2.342365,4.177992,1.988720,32.132227,3470.000000,186,15.565938,0.955899,False
B0006,14,1.899883,1.901067,3.561242,2.188400,4.177440,1.988787,32.028730,3450.297000,185,15.565938,0.949942,False
B0006,15,1.884583,1.889199,3.557882,2.120698,4.175616,1.988591,31.919144,3429.407000,184,15.565938,0.942292,False
B0006,16,1.881384,1.878278,3.562824,2.369981,4.177603,1.988500,31.947992,3409.484000,183,15.565938,0.940692,False
B0006,17,1.865410,1.867570,3.559195,2.247992,4.176355,1.988351,31.976421,3390.422000,182,15.565938,0.932705,False
B0006,18,1.860351,1.867589,3.558091,2.411532,4.177450,1.977455,32.017837,3390.281000,182,15.565938,0.930175,False
B0006,19,1.869652,1.979627,3.565899,2.203356,4.174584,1.989245,31.700738,3591.734000,192,15.565938,0.934826,False
B0006,20,1.879001,1.957550,3.570814,2.358878,4.175224,1.989047,32.024961,3552.297000,190,15.565938,0.939500,False
B0006,21,1.888396,1.945815,3.566682,2.218673,4.177217,1.988683,31.682278,3531.578000,189,15.565938,0.944198,False
B0006,22,1.897838,1.924246,3.566839,2.339723,4.176682,1.988550,31.371297,3492.907000,187,15.565938,0.948919,False
B0006,23,1.907327,1.945981,3.571052,2.399751,4.190384,1.988564,31.265866,3511.594000,188,15.565938,0.953663,False
B0006,24,1.888933,1.901408,3.566631,2.491411,4.176973,1.988056,31.198256,3431.937000,184,15.565938,0.944466,False
B0006,25,1.887019,1.878674,3.552739,2.138730,4.173452,1.977297,31.137982,3431.125000,184,15.565938,0.943510,False
B0006,26,1.875037,1.868306,3.556096,2.346064,4.176459,1.977169,31.059792,3412.406000,183,15.565938,0.937518,False
B0006,27,1.857529,1.856024,3.550450,2.327338,4.176261,1.966041,31.055706,3410.688000,183,15.565938,0.928765,False
B0006,28,1.841080,1.845200,3.546007,2.486312,4.172856,1.944615,31.126254,3410.718000,183,15.565938,0.920540,False
B0006,29,1.850286,1.857229,3.554258,2.292166,4.188188,1.976935,31.101274,3392.719000,182,15.565938,0.925143,False
B0006,30,1.859537,1.924776,3.555857,2.434301,4.189992,1.999755,31.225673,3470.672000,371,9.360000,0.929769,False
B0006,31,1.868835,1.882232,3.553731,2.472620,4.186982,1.988436,31.442412,3414.109000,365,9.360000,0.934417,False
